ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
60,Allergy/Immunology,6-10 years,Hospital-based,Germany,No,,,No,,,Not effective,<2 weeks,Superior,Yes: Mild headache,,Very likely,"Tralokinumab, Dupilumab",1,3,,1,3,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Food Allergies,Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,Limited evidence available
61,Allergy/Immunology,21+ years,Hospital-based,France,No,,,No,,Concerns about cost,Very effective,More than 4 weeks,Unsure,Yes: Nausea,Side effect concerns,Neutral,"Ruxolitinib Cream, Upadacitinib",5,3,,5,2,"Patient demand, Peer recommendations, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Psoriasis",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
62,Allergy/Immunology,11-20 years,Academic/Research institution,Spain,Yes,,,Yes,6-10,,Very effective,<2 weeks,Inferior,Yes: Nausea,Cost issues,Very likely,"Abrocitinib, Ruxolitinib Cream",2,5,2,,1,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Allergic Rhinitis, Food Allergies","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
63,Dermatology,11-20 years,Community clinic,France,Yes,Medical journal/literature,Rarely,Yes,6-10,,Very effective,No noticeable response,Inferior,,,Likely,"Upadacitinib, Abrocitinib, Tralokinumab",5,1,2,2,,"Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"None, Psoriasis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
64,Allergy/Immunology,0-5 years,Academic/Research institution,Italy,Yes,CME,Rarely,Yes,1-5,,Very effective,<2 weeks,Unsure,Yes: Dizziness,Cost issues,Likely,Ruxolitinib Cream,2,3,4,4,,"Cost, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Food Allergies, Asthma","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
65,Pediatrics,0-5 years,Private practice,Germany,Yes,,,Yes,1-5,,Not effective,No noticeable response,Superior,Yes: Mild headache,,Very unlikely,Dupilumab,4,4,4,,5,"Peer recommendations, Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Allergic Rhinitis,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
66,General Practice,0-5 years,Hospital-based,Germany,Yes,,,Yes,6-10,,Very effective,More than 4 weeks,Inferior,,Limited clinical data,Unlikely,Tralokinumab,,2,5,5,1,"Cost, Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Food Allergies,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
67,Allergy/Immunology,11-20 years,Private practice,Germany,Yes,,,Yes,More than 20,,Effective,2-4 weeks,Superior,Yes: Dizziness,Cost issues,Very likely,"Dupilumab, Tralokinumab, Ruxolitinib Cream",1,4,3,4,2,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,Allergic Rhinitis,Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,Waiting for more data
68,Dermatology,6-10 years,Hospital-based,Germany,Yes,Online webinar,Frequently,No,,Lack of familiarity,Not effective,Unsure,Superior,,Limited clinical data,Very unlikely,"Abrocitinib, Dupilumab, Upadacitinib",2,2,2,1,,"Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Waiting for more data
69,Pediatrics,6-10 years,Private practice,Germany,No,,,Yes,6-10,,Effective,2-4 weeks,Unsure,Yes: Nausea,Cost issues,Very likely,"Upadacitinib, Ruxolitinib Cream",,5,4,2,1,"Peer recommendations, Safety profile, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Food Allergies,Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
70,Pediatrics,6-10 years,Private practice,Germany,Yes,Pharmaceutical representative,Frequently,No,,Cost issues,Very effective,No noticeable response,Inferior,Yes: Nausea,Cost issues,Very unlikely,"Abrocitinib, Upadacitinib",3,3,3,4,,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Food Allergies,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
71,Allergy/Immunology,6-10 years,Academic/Research institution,Italy,No,,,No,,Cost issues,Effective,No noticeable response,Unsure,Yes: Nausea,,Neutral,Tralokinumab,5,2,1,5,1,"Cost, Clinical efficacy, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Food Allergies, Asthma",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
72,Allergy/Immunology,0-5 years,Hospital-based,Italy,Yes,,,Yes,6-10,,Unsure,2-4 weeks,Inferior,Yes: Dizziness,,Unlikely,Abrocitinib,3,2,3,2,,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Psoriasis,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of systemic therapies,Great potential
73,Allergy/Immunology,21+ years,Private practice,Spain,Yes,Online webinar,Rarely,No,,Cost issues,Not effective,Unsure,Inferior,,,Very likely,"Ruxolitinib Cream, Upadacitinib",1,5,5,3,3,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Food Allergies,Patients who failed systemic therapies,Topical -> Systemic,After failure of topical therapies,Great potential
74,Dermatology,0-5 years,Hospital-based,France,No,,,Yes,6-10,,Very effective,Unsure,Superior,Yes: Dizziness,Cost issues,Very likely,"Dupilumab, Tralokinumab",,2,2,5,2,"Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Allergic Rhinitis, Psoriasis",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
75,General Practice,11-20 years,Academic/Research institution,France,Yes,Other: Online research,Occasionally,Yes,6-10,,Effective,No noticeable response,Superior,Yes: Nausea,,Unlikely,Abrocitinib,1,5,,2,3,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,None,Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
76,Pediatrics,21+ years,Community clinic,Spain,Yes,,,Yes,6-10,,Effective,<2 weeks,Superior,,Side effect concerns,Neutral,"Abrocitinib, Tralokinumab, Ruxolitinib Cream",3,3,,1,5,"Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Psoriasis, None","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
77,Allergy/Immunology,0-5 years,Academic/Research institution,France,Yes,Online webinar,Rarely,Yes,6-10,,Not effective,No noticeable response,Comparable,Yes: Nausea,,Likely,Upadacitinib,2,1,3,3,3,"Peer recommendations, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Asthma, Food Allergies",Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,Great potential
78,Allergy/Immunology,21+ years,Academic/Research institution,France,No,,,No,,,Somewhat effective,<2 weeks,Superior,Yes: Nausea,Lack of training,Likely,"Tralokinumab, Dupilumab",4,,4,4,5,"Patient demand, Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Allergic Rhinitis,Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
79,Allergy/Immunology,6-10 years,Academic/Research institution,Germany,Yes,Professional conference,Frequently,Yes,1-5,,Very effective,No noticeable response,Superior,Yes: Nausea,Side effect concerns,Neutral,"Ruxolitinib Cream, Upadacitinib, Dupilumab",1,,1,,1,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Food Allergies, Allergic Rhinitis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of systemic therapies,Waiting for more data
80,General Practice,0-5 years,Hospital-based,Spain,Yes,,,Yes,11-20,,Very effective,Unsure,Unsure,Yes: Mild headache,Cost issues,Very unlikely,Upadacitinib,2,,4,,5,"Cost, Peer recommendations, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"None, Allergic Rhinitis","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
81,General Practice,0-5 years,Academic/Research institution,Spain,Yes,Online webinar,Frequently,Yes,1-5,,Somewhat effective,<2 weeks,Unsure,Yes: Dizziness,Limited clinical data,Likely,"Tralokinumab, Upadacitinib",1,2,,4,3,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Food Allergies, None",Patients with severe symptoms,Topical -> Systemic,After failure of topical therapies,Limited evidence available
82,General Practice,0-5 years,Academic/Research institution,France,Yes,Professional conference,Frequently,Yes,1-5,,Unsure,More than 4 weeks,Inferior,Yes: Dizziness,Lack of training,Unlikely,Upadacitinib,5,1,5,3,4,"Clinical efficacy, Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Psoriasis,Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
83,General Practice,21+ years,Academic/Research institution,Italy,Yes,Medical journal/literature,Frequently,Yes,More than 20,,Effective,No noticeable response,Superior,Yes: Mild headache,Limited clinical data,Neutral,"Dupilumab, Ruxolitinib Cream, Tralokinumab",4,,5,1,3,"Clinical efficacy, Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Psoriasis, Asthma","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Biologic,After failure of topical therapies,Great potential
84,Allergy/Immunology,21+ years,Academic/Research institution,Italy,No,,,Yes,6-10,,Unsure,Unsure,Unsure,Yes: Mild headache,Side effect concerns,Neutral,"Abrocitinib, Upadacitinib, Dupilumab",2,3,,2,,"Clinical efficacy, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Allergic Rhinitis, Food Allergies",Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,Great potential
85,Pediatrics,21+ years,Private practice,Germany,No,,,No,,Insufficient clinical evidence,Somewhat effective,Unsure,Comparable,Yes: Nausea,Lack of training,Likely,Upadacitinib,1,2,1,5,1,"Peer recommendations, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of systemic therapies,Waiting for more data
86,Pediatrics,0-5 years,Community clinic,Germany,Yes,Professional conference,Frequently,Yes,1-5,,Somewhat effective,2-4 weeks,Unsure,Yes: Nausea,,Likely,"Upadacitinib, Ruxolitinib Cream, Dupilumab",4,5,2,4,2,"Patient demand, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"None, Asthma",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of topical therapies,High patient satisfaction
87,Dermatology,6-10 years,Community clinic,France,Yes,Peer recommendation,Occasionally,Yes,6-10,,Very effective,No noticeable response,Inferior,Yes: Nausea,,Very likely,"Abrocitinib, Upadacitinib, Tralokinumab",3,3,2,,3,"Patient demand, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Food Allergies, Allergic Rhinitis","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Limited evidence available
88,General Practice,11-20 years,Hospital-based,Germany,Yes,Professional conference,Rarely,No,,Lack of familiarity,Effective,More than 4 weeks,Superior,Yes: Nausea,Cost issues,Very unlikely,"Tralokinumab, Abrocitinib",2,5,1,,1,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Asthma,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
89,Allergy/Immunology,6-10 years,Private practice,Germany,Yes,Pharmaceutical representative,Occasionally,No,,Concerns about cost,Somewhat effective,<2 weeks,Comparable,,Cost issues,Very unlikely,Ruxolitinib Cream,4,,1,5,4,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Allergic Rhinitis, None","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
90,Allergy/Immunology,21+ years,Community clinic,Germany,Yes,Medical journal/literature,Rarely,Yes,6-10,,Effective,Unsure,Inferior,Yes: Nausea,Lack of training,Very unlikely,Tralokinumab,1,1,4,5,5,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"None, Food Allergies",Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,Great potential
91,Dermatology,6-10 years,Hospital-based,Italy,Yes,Peer recommendation,Frequently,Yes,More than 20,,Unsure,2-4 weeks,Superior,Yes: Mild headache,Limited clinical data,Likely,Ruxolitinib Cream,1,5,5,2,2,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Food Allergies, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
92,Allergy/Immunology,11-20 years,Community clinic,France,Yes,,,Yes,6-10,,Unsure,2-4 weeks,Superior,Yes: Nausea,Limited clinical data,Very unlikely,Upadacitinib,1,2,5,5,1,"Cost, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Psoriasis, None","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
93,Allergy/Immunology,0-5 years,Academic/Research institution,France,Yes,Medical journal/literature,Rarely,Yes,More than 20,,Somewhat effective,2-4 weeks,Superior,Yes: Nausea,Side effect concerns,Very likely,"Tralokinumab, Upadacitinib",5,4,3,3,,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Food Allergies,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Biologic,After failure of systemic therapies,Great potential
94,Allergy/Immunology,6-10 years,Community clinic,France,Yes,Medical journal/literature,Rarely,Yes,1-5,,Effective,<2 weeks,Comparable,Yes: Mild headache,Limited clinical data,Very unlikely,"Upadacitinib, Ruxolitinib Cream, Dupilumab",3,3,2,4,3,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Psoriasis, None",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Great potential
95,Allergy/Immunology,6-10 years,Hospital-based,Germany,Yes,Professional conference,Occasionally,No,,Concerns about cost,Not effective,<2 weeks,Comparable,Yes: Nausea,,Very unlikely,"Ruxolitinib Cream, Dupilumab",4,5,1,,4,"Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"None, Asthma","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
96,Allergy/Immunology,0-5 years,Academic/Research institution,Spain,Yes,,,Yes,More than 20,,Unsure,2-4 weeks,Inferior,,Limited clinical data,Very unlikely,Ruxolitinib Cream,,5,5,3,4,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,None,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of systemic therapies,Limited evidence available
97,Allergy/Immunology,21+ years,Academic/Research institution,Italy,Yes,Pharmaceutical representative,Rarely,Yes,6-10,,Unsure,More than 4 weeks,Comparable,,Side effect concerns,Likely,"Upadacitinib, Dupilumab, Abrocitinib",4,1,5,,,"Safety profile, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Asthma,Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Limited evidence available
98,Allergy/Immunology,0-5 years,Hospital-based,France,Yes,Other: Online research,Occasionally,No,,Lack of familiarity,Unsure,Unsure,Unsure,Yes: Mild headache,Side effect concerns,Likely,"Upadacitinib, Abrocitinib, Tralokinumab",4,5,2,2,2,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,None,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,Limited evidence available
99,Dermatology,11-20 years,Hospital-based,Spain,No,,,No,,Lack of familiarity,Somewhat effective,2-4 weeks,Inferior,Yes: Dizziness,Lack of training,Very unlikely,Ruxolitinib Cream,1,4,2,,4,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,"Food Allergies, None","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Waiting for more data
100,General Practice,0-5 years,Academic/Research institution,France,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,,Effective,2-4 weeks,Unsure,Yes: Nausea,Lack of training,Neutral,"Tralokinumab, Upadacitinib",,4,2,2,5,"Peer recommendations, Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Asthma,Patients who failed systemic therapies,Topical -> Biologic,After failure of systemic therapies,High patient satisfaction
101,Allergy/Immunology,0-5 years,Hospital-based,France,Yes,Peer recommendation,Occasionally,Yes,6-10,,Unsure,Unsure,Comparable,,,Unlikely,Tralokinumab,3,2,5,4,3,"Clinical efficacy, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,None,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
102,Dermatology,21+ years,Hospital-based,France,Yes,,,Yes,More than 20,,Somewhat effective,Unsure,Inferior,Yes: Nausea,Limited clinical data,Neutral,"Ruxolitinib Cream, Tralokinumab, Dupilumab",3,3,5,1,4,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Food Allergies",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
103,Dermatology,11-20 years,Hospital-based,Spain,No,,,No,,,Effective,2-4 weeks,Unsure,Yes: Nausea,Lack of training,Likely,"Dupilumab, Tralokinumab",5,5,,,,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Food Allergies, Asthma","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
104,Pediatrics,21+ years,Community clinic,Spain,Yes,,,Yes,1-5,,Unsure,More than 4 weeks,Comparable,,Cost issues,Neutral,Upadacitinib,4,4,5,5,3,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,None,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Great potential
105,Allergy/Immunology,11-20 years,Academic/Research institution,France,No,,,Yes,1-5,,Effective,<2 weeks,Inferior,Yes: Mild headache,Side effect concerns,Very likely,"Abrocitinib, Dupilumab",5,3,4,,3,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,None,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
106,Dermatology,21+ years,Hospital-based,Spain,No,,,Yes,1-5,,Effective,More than 4 weeks,Comparable,,Side effect concerns,Neutral,Abrocitinib,3,1,1,1,2,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Psoriasis, Asthma","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Biologic,After failure of systemic therapies,Great potential
107,Allergy/Immunology,21+ years,Academic/Research institution,France,Yes,,,Yes,More than 20,,Somewhat effective,<2 weeks,Unsure,Yes: Nausea,Lack of training,Neutral,Ruxolitinib Cream,5,,4,3,5,"Peer recommendations, Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Allergic Rhinitis,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Limited evidence available
108,General Practice,21+ years,Community clinic,Germany,Yes,Medical journal/literature,Frequently,Yes,6-10,,Not effective,More than 4 weeks,Inferior,Yes: Mild headache,Cost issues,Likely,"Ruxolitinib Cream, Abrocitinib",4,4,2,2,,"Cost, Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Asthma,Patients with severe symptoms,Topical -> Systemic,After failure of topical therapies,Waiting for more data
109,Pediatrics,6-10 years,Hospital-based,France,No,,,Yes,6-10,,Very effective,No noticeable response,Inferior,Yes: Mild headache,Side effect concerns,Unlikely,"Upadacitinib, Abrocitinib, Ruxolitinib Cream",,5,1,4,2,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Psoriasis,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
110,General Practice,21+ years,Academic/Research institution,Germany,Yes,Medical journal/literature,Frequently,No,,Preference for alternative treatments,Very effective,<2 weeks,Inferior,Yes: Mild headache,Lack of training,Very unlikely,Abrocitinib,,,2,5,2,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Food Allergies,Patients who failed topical corticosteroids,Topical -> Biologic,After failure of multiple systemic therapies,High patient satisfaction
111,Pediatrics,11-20 years,Hospital-based,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,,Unsure,No noticeable response,Inferior,Yes: Nausea,Side effect concerns,Unlikely,"Upadacitinib, Abrocitinib, Tralokinumab",3,4,,,3,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"None, Food Allergies","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
112,Dermatology,6-10 years,Academic/Research institution,France,Yes,Online webinar,Frequently,Yes,6-10,,Not effective,No noticeable response,Unsure,Yes: Mild headache,Limited clinical data,Very unlikely,"Tralokinumab, Dupilumab, Abrocitinib",1,1,4,4,4,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Food Allergies, Allergic Rhinitis","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
113,General Practice,6-10 years,Private practice,Italy,Yes,Medical journal/literature,Rarely,Yes,6-10,,Unsure,2-4 weeks,Inferior,Yes: Mild headache,Lack of training,Neutral,"Upadacitinib, Abrocitinib",3,4,5,4,3,"Safety profile, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Psoriasis, Asthma",Patients who failed systemic therapies,Topical -> Biologic,After failure of multiple systemic therapies,Waiting for more data
114,General Practice,6-10 years,Hospital-based,France,Yes,,,Yes,11-20,,Very effective,More than 4 weeks,Unsure,Yes: Dizziness,,Very unlikely,Dupilumab,4,5,,4,1,"Peer recommendations, Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Asthma,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,Limited evidence available
115,Dermatology,0-5 years,Hospital-based,France,No,,,Yes,6-10,,Not effective,2-4 weeks,Comparable,Yes: Mild headache,Side effect concerns,Neutral,"Ruxolitinib Cream, Upadacitinib, Dupilumab",5,4,5,1,2,"Safety profile, Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,Food Allergies,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
116,Dermatology,21+ years,Academic/Research institution,Germany,Yes,Peer recommendation,Occasionally,Yes,1-5,,Somewhat effective,2-4 weeks,Comparable,Yes: Dizziness,,Neutral,"Dupilumab, Ruxolitinib Cream, Upadacitinib",2,5,4,1,,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Food Allergies, None",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
117,General Practice,21+ years,Hospital-based,Italy,Yes,,,Yes,11-20,,Unsure,Unsure,Comparable,,Side effect concerns,Very likely,Ruxolitinib Cream,2,5,4,4,2,"Safety profile, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"None, Asthma",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
118,General Practice,0-5 years,Hospital-based,France,Yes,Online webinar,Occasionally,Yes,11-20,,Not effective,<2 weeks,Unsure,Yes: Dizziness,Limited clinical data,Unlikely,"Abrocitinib, Upadacitinib, Dupilumab",3,,,3,4,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,None,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of topical therapies,Great potential
119,General Practice,6-10 years,Community clinic,Italy,Yes,,,Yes,More than 20,,Unsure,No noticeable response,Unsure,Yes: Dizziness,Lack of training,Very likely,Ruxolitinib Cream,2,5,5,2,2,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,None,Patients who failed topical corticosteroids,Topical -> Biologic,After failure of systemic therapies,Limited evidence available
120,Allergy/Immunology,6-10 years,Private practice,Germany,Yes,Other: Online research,Frequently,Yes,6-10,,Somewhat effective,No noticeable response,Inferior,,,Likely,Ruxolitinib Cream,3,1,4,4,3,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Allergic Rhinitis, Food Allergies",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
