ID,Specialty,Years_in_Practice,Practice_Setting,Country,Aware_of_Dermacure,First_Learned,Frequency_of_Info,Prescribed_Dermacure,Number_of_Patients,Not_Prescribed_Reasons,Overall_Effectiveness,Response_Time,Safety_Profile,Adverse_Effects,Barriers,Future_Prescribing_Intent,Alternative_Treatments,Dupilumab_Rating,Tralokinumab_Rating,Upadacitinib_Rating,Abrocitinib_Rating,Ruxolitinib_Rating,Influencing_Factors,Ranking_Factors,Patient_Severity,Biologic_Naive_Percentage,Comorbidities,Suitable_Patient_Profile,Patient_Journey,Switching_Stage,Additional_Comments
54,Allergy/Immunology,6-10 years,Academic/Research institution,Germany,No,Pharmaceutical representative,Occasionally,No,0,Cost issues,Effective,<2 weeks,Unsure,Yes: Mild headache,Lack of training,Very likely,"Ruxolitinib Cream, Abrocitinib",4.0,4.0,5.0,1.0,2.0,"Peer recommendations, Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Allergic Rhinitis, Psoriasis",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
55,General Practice,11-20 years,Private practice,Italy,Yes,Professional conference,Frequently,No,0,Cost issues,Not effective,<2 weeks,Superior,Yes: Nausea,Cost issues,Neutral,Ruxolitinib Cream,4.0,3.0,2.0,4.0,2.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,Asthma,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
56,Allergy/Immunology,11-20 years,Private practice,Germany,Yes,Pharmaceutical representative,Frequently,Yes,6-10,Lack of familiarity,Very effective,Unsure,Comparable,Yes: Mild headache,Limited clinical data,Likely,"Tralokinumab, Dupilumab, Abrocitinib",4.0,3.0,5.0,4.0,4.0,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Psoriasis, Food Allergies",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Waiting for more data
57,Pediatrics,21+ years,Academic/Research institution,Italy,Yes,Professional conference,Rarely,No,0,Concerns about cost,Effective,2-4 weeks,Inferior,Yes: Dizziness,Lack of training,Very likely,"Ruxolitinib Cream, Dupilumab, Tralokinumab",5.0,5.0,2.0,5.0,5.0,"Patient demand, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"Allergic Rhinitis, None",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of topical therapies,High patient satisfaction
58,Pediatrics,6-10 years,Hospital-based,France,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Effective,<2 weeks,Comparable,Yes: Dizziness,Side effect concerns,Unlikely,"Dupilumab, Abrocitinib, Ruxolitinib Cream",2.0,5.0,2.0,4.0,5.0,"Cost, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Allergic Rhinitis,Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
59,Allergy/Immunology,21+ years,Private practice,Germany,Yes,Other: Online research,Frequently,Yes,6-10,Lack of familiarity,Somewhat effective,Unsure,Unsure,Yes: Mild headache,Lack of training,Unlikely,"Upadacitinib, Dupilumab, Tralokinumab",4.0,5.0,3.0,2.0,5.0,"Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Waiting for more data
60,Allergy/Immunology,6-10 years,Hospital-based,Germany,No,Pharmaceutical representative,Occasionally,No,0,Lack of familiarity,Not effective,<2 weeks,Superior,Yes: Mild headache,Lack of training,Very likely,"Tralokinumab, Dupilumab",1.0,3.0,5.0,1.0,3.0,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Food Allergies,Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,Limited evidence available
61,Allergy/Immunology,21+ years,Hospital-based,France,No,Pharmaceutical representative,Occasionally,No,0,Concerns about cost,Very effective,More than 4 weeks,Unsure,Yes: Nausea,Side effect concerns,Neutral,"Ruxolitinib Cream, Upadacitinib",5.0,3.0,5.0,5.0,2.0,"Patient demand, Peer recommendations, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Psoriasis",Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
62,Allergy/Immunology,11-20 years,Academic/Research institution,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Very effective,<2 weeks,Inferior,Yes: Nausea,Cost issues,Very likely,"Abrocitinib, Ruxolitinib Cream",2.0,5.0,2.0,5.0,1.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Allergic Rhinitis, Food Allergies","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
63,Dermatology,11-20 years,Community clinic,France,Yes,Medical journal/literature,Rarely,Yes,6-10,Lack of familiarity,Very effective,No noticeable response,Inferior,Yes: Nausea,Lack of training,Likely,"Upadacitinib, Abrocitinib, Tralokinumab",5.0,1.0,2.0,2.0,2.0,"Clinical efficacy, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"None, Psoriasis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,Great potential
64,Allergy/Immunology,0-5 years,Academic/Research institution,Italy,Yes,CME,Rarely,Yes,1-5,Lack of familiarity,Very effective,<2 weeks,Unsure,Yes: Dizziness,Cost issues,Likely,Ruxolitinib Cream,2.0,3.0,4.0,4.0,2.0,"Cost, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Food Allergies, Asthma","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
65,Pediatrics,0-5 years,Private practice,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Not effective,No noticeable response,Superior,Yes: Mild headache,Lack of training,Very unlikely,Dupilumab,4.0,4.0,4.0,5.0,5.0,"Peer recommendations, Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Allergic Rhinitis,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Waiting for more data
66,General Practice,0-5 years,Hospital-based,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Very effective,More than 4 weeks,Inferior,Yes: Nausea,Limited clinical data,Unlikely,Tralokinumab,4.0,2.0,5.0,5.0,1.0,"Cost, Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Food Allergies,"Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of systemic therapies,High patient satisfaction
67,Allergy/Immunology,11-20 years,Private practice,Germany,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Effective,2-4 weeks,Superior,Yes: Dizziness,Cost issues,Very likely,"Dupilumab, Tralokinumab, Ruxolitinib Cream",1.0,4.0,3.0,4.0,2.0,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,Allergic Rhinitis,Patients with severe symptoms,Topical -> Biologic,After failure of topical therapies,Waiting for more data
68,Dermatology,6-10 years,Hospital-based,Germany,Yes,Online webinar,Frequently,No,0,Lack of familiarity,Not effective,Unsure,Superior,Yes: Nausea,Limited clinical data,Very unlikely,"Abrocitinib, Dupilumab, Upadacitinib",2.0,2.0,2.0,1.0,2.0,"Peer recommendations, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Allergic Rhinitis,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Waiting for more data
69,Pediatrics,6-10 years,Private practice,Germany,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Effective,2-4 weeks,Unsure,Yes: Nausea,Cost issues,Very likely,"Upadacitinib, Ruxolitinib Cream",4.0,5.0,4.0,2.0,1.0,"Peer recommendations, Safety profile, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Food Allergies,Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
70,Pediatrics,6-10 years,Private practice,Germany,Yes,Pharmaceutical representative,Frequently,No,0,Cost issues,Very effective,No noticeable response,Inferior,Yes: Nausea,Cost issues,Very unlikely,"Abrocitinib, Upadacitinib",3.0,3.0,3.0,4.0,2.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Food Allergies,"Patients who failed topical corticosteroids, Patients with severe symptoms",Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
71,Allergy/Immunology,6-10 years,Academic/Research institution,Italy,No,Pharmaceutical representative,Occasionally,No,0,Cost issues,Effective,No noticeable response,Unsure,Yes: Nausea,Lack of training,Neutral,Tralokinumab,5.0,2.0,1.0,5.0,1.0,"Cost, Clinical efficacy, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Food Allergies, Asthma",Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
72,Allergy/Immunology,0-5 years,Hospital-based,Italy,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Unsure,2-4 weeks,Inferior,Yes: Dizziness,Lack of training,Unlikely,Abrocitinib,3.0,2.0,3.0,2.0,2.0,"Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Psoriasis,"Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of systemic therapies,Great potential
73,Allergy/Immunology,21+ years,Private practice,Spain,Yes,Online webinar,Rarely,No,0,Cost issues,Not effective,Unsure,Inferior,Yes: Nausea,Lack of training,Very likely,"Ruxolitinib Cream, Upadacitinib",1.0,5.0,5.0,3.0,3.0,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Food Allergies,Patients who failed systemic therapies,Topical -> Systemic,After failure of topical therapies,Great potential
74,Dermatology,0-5 years,Hospital-based,France,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Very effective,Unsure,Superior,Yes: Dizziness,Cost issues,Very likely,"Dupilumab, Tralokinumab",4.0,2.0,2.0,5.0,2.0,"Peer recommendations, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,"Allergic Rhinitis, Psoriasis",Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
75,General Practice,11-20 years,Academic/Research institution,France,Yes,Other: Online research,Occasionally,Yes,6-10,Lack of familiarity,Effective,No noticeable response,Superior,Yes: Nausea,Lack of training,Unlikely,Abrocitinib,1.0,5.0,5.0,2.0,3.0,"Peer recommendations, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,Asthma,Patients who failed systemic therapies,Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
76,Pediatrics,21+ years,Community clinic,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Effective,<2 weeks,Superior,Yes: Nausea,Side effect concerns,Neutral,"Abrocitinib, Tralokinumab, Ruxolitinib Cream",3.0,3.0,5.0,1.0,5.0,"Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"Psoriasis, None","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Phototherapy -> Systemic,After failure of systemic therapies,High patient satisfaction
77,Allergy/Immunology,0-5 years,Academic/Research institution,France,Yes,Online webinar,Rarely,Yes,6-10,Lack of familiarity,Not effective,No noticeable response,Comparable,Yes: Nausea,Lack of training,Likely,Upadacitinib,2.0,1.0,3.0,3.0,3.0,"Peer recommendations, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Asthma, Food Allergies",Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,Great potential
78,Allergy/Immunology,21+ years,Academic/Research institution,France,No,Pharmaceutical representative,Occasionally,No,0,Lack of familiarity,Somewhat effective,<2 weeks,Superior,Yes: Nausea,Lack of training,Likely,"Tralokinumab, Dupilumab",4.0,5.0,4.0,4.0,5.0,"Patient demand, Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Allergic Rhinitis,Patients who failed systemic therapies,Topical -> Phototherapy -> Systemic,After failure of topical therapies,Great potential
79,Allergy/Immunology,6-10 years,Academic/Research institution,Germany,Yes,Professional conference,Frequently,Yes,1-5,Lack of familiarity,Very effective,No noticeable response,Superior,Yes: Nausea,Side effect concerns,Neutral,"Ruxolitinib Cream, Upadacitinib, Dupilumab",1.0,5.0,1.0,5.0,1.0,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Food Allergies, Allergic Rhinitis","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Systemic,After failure of systemic therapies,Waiting for more data
80,General Practice,0-5 years,Hospital-based,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,11-20,Lack of familiarity,Very effective,Unsure,Unsure,Yes: Mild headache,Cost issues,Very unlikely,Upadacitinib,2.0,5.0,4.0,5.0,5.0,"Cost, Peer recommendations, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,"None, Allergic Rhinitis","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
81,General Practice,0-5 years,Academic/Research institution,Spain,Yes,Online webinar,Frequently,Yes,1-5,Lack of familiarity,Somewhat effective,<2 weeks,Unsure,Yes: Dizziness,Limited clinical data,Likely,"Tralokinumab, Upadacitinib",1.0,2.0,5.0,4.0,3.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Food Allergies, None",Patients with severe symptoms,Topical -> Systemic,After failure of topical therapies,Limited evidence available
82,General Practice,0-5 years,Academic/Research institution,France,Yes,Professional conference,Frequently,Yes,1-5,Lack of familiarity,Unsure,More than 4 weeks,Inferior,Yes: Dizziness,Lack of training,Unlikely,Upadacitinib,5.0,1.0,5.0,3.0,4.0,"Clinical efficacy, Cost, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,Psoriasis,Patients with severe symptoms,Topical -> Systemic,After failure of multiple systemic therapies,Limited evidence available
83,General Practice,21+ years,Academic/Research institution,Italy,Yes,Medical journal/literature,Frequently,Yes,More than 20,Lack of familiarity,Effective,No noticeable response,Superior,Yes: Mild headache,Limited clinical data,Neutral,"Dupilumab, Ruxolitinib Cream, Tralokinumab",4.0,5.0,5.0,1.0,3.0,"Clinical efficacy, Safety profile, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Psoriasis, Asthma","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Biologic,After failure of topical therapies,Great potential
84,Allergy/Immunology,21+ years,Academic/Research institution,Italy,No,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Unsure,Unsure,Unsure,Yes: Mild headache,Side effect concerns,Neutral,"Abrocitinib, Upadacitinib, Dupilumab",2.0,3.0,5.0,2.0,2.0,"Clinical efficacy, Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,26-50%,"Allergic Rhinitis, Food Allergies",Patients with severe symptoms,Topical -> Systemic,After failure of systemic therapies,Great potential
85,Pediatrics,21+ years,Private practice,Germany,No,Pharmaceutical representative,Occasionally,No,0,Insufficient clinical evidence,Somewhat effective,Unsure,Comparable,Yes: Nausea,Lack of training,Likely,Upadacitinib,1.0,2.0,1.0,5.0,1.0,"Peer recommendations, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,Unsure,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of systemic therapies,Waiting for more data
86,Pediatrics,0-5 years,Community clinic,Germany,Yes,Professional conference,Frequently,Yes,1-5,Lack of familiarity,Somewhat effective,2-4 weeks,Unsure,Yes: Nausea,Lack of training,Likely,"Upadacitinib, Ruxolitinib Cream, Dupilumab",4.0,5.0,2.0,4.0,2.0,"Patient demand, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"None, Asthma",Patients who failed topical corticosteroids,Topical -> Biologic,After failure of topical therapies,High patient satisfaction
87,Dermatology,6-10 years,Community clinic,France,Yes,Peer recommendation,Occasionally,Yes,6-10,Lack of familiarity,Very effective,No noticeable response,Inferior,Yes: Nausea,Lack of training,Very likely,"Abrocitinib, Upadacitinib, Tralokinumab",3.0,3.0,2.0,5.0,3.0,"Patient demand, Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,26-50%,"Food Allergies, Allergic Rhinitis","Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Limited evidence available
88,General Practice,11-20 years,Hospital-based,Germany,Yes,Professional conference,Rarely,No,0,Lack of familiarity,Effective,More than 4 weeks,Superior,Yes: Nausea,Cost issues,Very unlikely,"Tralokinumab, Abrocitinib",2.0,5.0,1.0,5.0,1.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Asthma,Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of topical therapies,High patient satisfaction
89,Allergy/Immunology,6-10 years,Private practice,Germany,Yes,Pharmaceutical representative,Occasionally,No,0,Concerns about cost,Somewhat effective,<2 weeks,Comparable,Yes: Nausea,Cost issues,Very unlikely,Ruxolitinib Cream,4.0,5.0,1.0,5.0,4.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,51-75%,"Allergic Rhinitis, None","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Biologic,After failure of multiple systemic therapies,Limited evidence available
90,Allergy/Immunology,21+ years,Community clinic,Germany,Yes,Medical journal/literature,Rarely,Yes,6-10,Lack of familiarity,Effective,Unsure,Inferior,Yes: Nausea,Lack of training,Very unlikely,Tralokinumab,1.0,1.0,4.0,5.0,5.0,"Clinical efficacy, Cost","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"None, Food Allergies",Patients with severe symptoms,Topical -> Biologic,After failure of systemic therapies,Great potential
91,Dermatology,6-10 years,Hospital-based,Italy,Yes,Peer recommendation,Frequently,Yes,More than 20,Lack of familiarity,Unsure,2-4 weeks,Superior,Yes: Mild headache,Limited clinical data,Likely,Ruxolitinib Cream,1.0,5.0,5.0,2.0,2.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,0-25%,"Food Allergies, Allergic Rhinitis",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
92,Allergy/Immunology,11-20 years,Community clinic,France,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Unsure,2-4 weeks,Superior,Yes: Nausea,Limited clinical data,Very unlikely,Upadacitinib,1.0,2.0,5.0,5.0,1.0,"Cost, Clinical efficacy, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,51-75%,"Psoriasis, None","Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,High patient satisfaction
93,Allergy/Immunology,0-5 years,Academic/Research institution,France,Yes,Medical journal/literature,Rarely,Yes,More than 20,Lack of familiarity,Somewhat effective,2-4 weeks,Superior,Yes: Nausea,Side effect concerns,Very likely,"Tralokinumab, Upadacitinib",5.0,4.0,3.0,3.0,2.0,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Food Allergies,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Biologic,After failure of systemic therapies,Great potential
94,Allergy/Immunology,6-10 years,Community clinic,France,Yes,Medical journal/literature,Rarely,Yes,1-5,Lack of familiarity,Effective,<2 weeks,Comparable,Yes: Mild headache,Limited clinical data,Very unlikely,"Upadacitinib, Ruxolitinib Cream, Dupilumab",3.0,3.0,2.0,4.0,3.0,"Patient demand, Safety profile","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,"Psoriasis, None",Patients who failed topical corticosteroids,Topical -> Systemic,After failure of systemic therapies,Great potential
95,Allergy/Immunology,6-10 years,Hospital-based,Germany,Yes,Professional conference,Occasionally,No,0,Concerns about cost,Not effective,<2 weeks,Comparable,Yes: Nausea,Lack of training,Very unlikely,"Ruxolitinib Cream, Dupilumab",4.0,5.0,1.0,5.0,4.0,"Patient demand, Peer recommendations","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,"None, Asthma","Patients who failed systemic therapies, Patients with severe symptoms",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Limited evidence available
96,Allergy/Immunology,0-5 years,Academic/Research institution,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Unsure,2-4 weeks,Inferior,Yes: Nausea,Limited clinical data,Very unlikely,Ruxolitinib Cream,4.0,5.0,5.0,3.0,4.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Asthma,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Biologic,After failure of systemic therapies,Limited evidence available
97,Allergy/Immunology,21+ years,Academic/Research institution,Italy,Yes,Pharmaceutical representative,Rarely,Yes,6-10,Lack of familiarity,Unsure,More than 4 weeks,Comparable,Yes: Nausea,Side effect concerns,Likely,"Upadacitinib, Dupilumab, Abrocitinib",4.0,1.0,5.0,5.0,2.0,"Safety profile, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,Unsure,Asthma,Patients with severe symptoms,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Limited evidence available
98,Allergy/Immunology,0-5 years,Hospital-based,France,Yes,Other: Online research,Occasionally,No,0,Lack of familiarity,Unsure,Unsure,Unsure,Yes: Mild headache,Side effect concerns,Likely,"Upadacitinib, Abrocitinib, Tralokinumab",4.0,5.0,2.0,2.0,2.0,Clinical efficacy,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,0-25%,Asthma,"Patients with severe symptoms, Patients who failed topical corticosteroids",Topical -> Biologic,After failure of topical therapies,Limited evidence available
99,Dermatology,11-20 years,Hospital-based,Spain,No,Pharmaceutical representative,Occasionally,No,0,Lack of familiarity,Somewhat effective,2-4 weeks,Inferior,Yes: Dizziness,Lack of training,Very unlikely,Ruxolitinib Cream,1.0,4.0,2.0,5.0,4.0,"Cost, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,"Food Allergies, None","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Phototherapy -> Systemic,After failure of topical therapies,Waiting for more data
100,General Practice,0-5 years,Academic/Research institution,France,Yes,Pharmaceutical representative,Occasionally,Yes,6-10,Lack of familiarity,Effective,2-4 weeks,Unsure,Yes: Nausea,Lack of training,Neutral,"Tralokinumab, Upadacitinib",4.0,4.0,2.0,2.0,5.0,"Peer recommendations, Patient demand, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Asthma,Patients who failed systemic therapies,Topical -> Biologic,After failure of systemic therapies,High patient satisfaction
101,Allergy/Immunology,0-5 years,Hospital-based,France,Yes,Peer recommendation,Occasionally,Yes,6-10,Lack of familiarity,Unsure,Unsure,Comparable,Yes: Nausea,Lack of training,Unlikely,Tralokinumab,3.0,2.0,5.0,4.0,3.0,"Clinical efficacy, Cost, Patient demand","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,26-50%,Asthma,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of multiple systemic therapies,Waiting for more data
102,Dermatology,21+ years,Hospital-based,France,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Somewhat effective,Unsure,Inferior,Yes: Nausea,Limited clinical data,Neutral,"Ruxolitinib Cream, Tralokinumab, Dupilumab",3.0,3.0,5.0,1.0,4.0,Safety profile,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,51-75%,"Asthma, Food Allergies",Patients who failed topical corticosteroids,Topical -> Phototherapy -> Systemic,After failure of systemic therapies,Great potential
103,Dermatology,11-20 years,Hospital-based,Spain,No,Pharmaceutical representative,Occasionally,No,0,Lack of familiarity,Effective,2-4 weeks,Unsure,Yes: Nausea,Lack of training,Likely,"Dupilumab, Tralokinumab",5.0,5.0,5.0,5.0,2.0,Patient demand,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,76-100%,"Food Allergies, Asthma","Patients who failed systemic therapies, Patients who failed topical corticosteroids",Topical -> Systemic,After failure of multiple systemic therapies,High patient satisfaction
104,Pediatrics,21+ years,Community clinic,Spain,Yes,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Unsure,More than 4 weeks,Comparable,Yes: Nausea,Cost issues,Neutral,Upadacitinib,4.0,4.0,5.0,5.0,3.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Mild,76-100%,Asthma,"Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Great potential
105,Allergy/Immunology,11-20 years,Academic/Research institution,France,No,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Effective,<2 weeks,Inferior,Yes: Mild headache,Side effect concerns,Very likely,"Abrocitinib, Dupilumab",5.0,3.0,4.0,5.0,3.0,Cost,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,0-25%,Asthma,Patients who failed topical corticosteroids,Topical -> Systemic,After failure of multiple systemic therapies,Great potential
106,Dermatology,21+ years,Hospital-based,Spain,No,Pharmaceutical representative,Occasionally,Yes,1-5,Lack of familiarity,Effective,More than 4 weeks,Comparable,Yes: Nausea,Side effect concerns,Neutral,Abrocitinib,3.0,1.0,1.0,1.0,2.0,Peer recommendations,"Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Severe,76-100%,"Psoriasis, Asthma","Patients who failed topical corticosteroids, Patients who failed systemic therapies",Topical -> Biologic,After failure of systemic therapies,Great potential
107,Allergy/Immunology,21+ years,Academic/Research institution,France,Yes,Pharmaceutical representative,Occasionally,Yes,More than 20,Lack of familiarity,Somewhat effective,<2 weeks,Unsure,Yes: Nausea,Lack of training,Neutral,Ruxolitinib Cream,5.0,5.0,4.0,3.0,5.0,"Peer recommendations, Safety profile, Clinical efficacy","Effectiveness, Safety, Cost, Adherence, Familiarity, Data",Moderate,Unsure,Allergic Rhinitis,"Patients with severe symptoms, Patients who failed systemic therapies",Topical -> Systemic,After failure of topical therapies,Limited evidence available
